Card Name,Card Description,Labels,Checklist,Checklist item
"Employee completes an order","As an employeeI want to mark an order as ready (for pickup) and completed (picked up by customer)so orders can be easily managedStorypoints - **xx**","",,
,,,"Tasks","Make the order change status to ready when the "klar til levering" button is clicked"
,,,,"Make the order change status to completed when the "udleveret" button is clicked"
,,,,"Make the order change color when the status is changed"
,,,"Acceptance Criteria","Status is colour coded, and has text according to the colour"
,,,,"The status is changed when an employee tries to change the status"
"Update and delete (UD) in basket","As a UserI want to change amount (update and delete) a product in my basketIn order to compile my orderStorypoints - **xx**","",,
,,,"Acceptance Criteria","Consider arimethic overflow (value goes to below zero when adding absurd amounts of product)"
,,,,"Given that an amount hits zero or below, when changing amount in the basket, then the product will be removed"
,,,"Tasks","Change amount of exsisting product in Basket"
"Customer order update","As a customeri want to get status updates on my orderso i can see the progressStorypoints - **xx**","",,
,,,"Acceptance Criteria","Given an order status changes, when an employee updates order, then an email is sent successfully."
,,,,"Given a customer doesn't want to get notifications, when having sent an order, then an email will not be sent."
,,,"Tasks","Send updates as an email, when the order status changes"
,,,,"Option to not get status notifications during check out process"
"Put content onto the index page","Storypoints - **xx**","",,
"User profile page","As a userI would like to view my account detailsBecause i want to check whether i agree with the current detailsStorypoints - **xx**","",,
,,,"Tasks","Profile details page"
,,,,"Profile details has same laout as update profile details page"
,,,,"Add "Opdater" button which moves the user to the update profile details page"
,,,"Acceptance Criteria","Only user who are logged in can enter this page"
,,,,"User can only see their own details"
,,,,"When i enter the page all my details are displayed"
,,,,"Details can not be changed on this page"
"Customer view orders page","As a customerI want to be able to see all my ordersIn order to see my current order(s) and to know what i have ordered in the past‌Storypoints - **xx**","",,
,,,"Tasks","Create "mine ordrer" page"
,,,,"Make it possible to navigate to the page from the profile page"
,,,"Acceptance Criteria","Customer can navigate to the "mine ordrer" page from the profile page"
,,,,"Customer can see their current order(s) and old orders on the page"
,,,,"Orders need to be shown with the newest order first"
,,,,"Show the 20? newest orders, customer can push a "næste side" button if they want to see more orders"
"Customer update profile","As a customerI want to be able to update my profileIn order to change my info if something changes‌Storypoints - **xx**","",,
,,,"Acceptance Criteria","Customer can navigate to the "opdater profil" page"
,,,,"Customer can fill out the form with new info"
,,,,"Customer gets a succes message if the profile is updated"
,,,,"Customer gets an error message if something goes wrong"
,,,,"Email cannot be updated by customer"
,,,,"Update profile page has the same design as the profile page"
,,,,"The update profile form has all the original info in the form"
,,,"Tasks","Make update profile page (form)"
,,,,"Make "din profil er opdateret" message"
,,,,"Make error messages if info in form is against restrictions"
"Admin show all users","As an adminI want to be able to see all usersIn order to manage the website‌Storypoints - **xx**","",,
,,,"Acceptance Criteria","Given when an Admin needs an overview of users, when accessing the "Vis Brugere" page, then the Admin will see all users"
,,,,"Page take less than 10 seconds to fully load"
,,,,"Can successfully navigate to "vis bruger" page"
,,,,"Filters and sort work"
,,,"Tasks","Add link to "vis brugere" page from navbar"
,,,,"Create "Vis brugere" page"
,,,,"Filters and sorts on roles and name"
"Admin update user","As an AdminI want to be able to update an existing userIn order to manage the websiteStorypoints - **xx**","",,
,,,"Acceptance Criteria","Correct user is updated"
,,,,"Admin can navigate to "Administrer bruger" page from the the "vis brugere" page"
,,,,"Success or error message shown"
,,,"Tasks","Administrer button on all users in see all users"
,,,,"Create update page"
,,,,"Make success and error messages"
"Admin deactivate/delete user","As an adminI want to be able to delete a userIn order to manage employees, undertakers and customersStorypoints - **xx**","",,
,,,"Tasks","Choose a user to delete"
,,,,"Set the users status to inactive"
,,,,"Make "are you sure" page before the user is deleted"
,,,,"Success and error messages"
,,,"Acceptance Criteria","The admin can navigate to "slet bruger" from the "administrer bruger" page"
,,,,"The right user is set to inactive"
,,,,"Success or error message shown"
"Employee/Admin manage product","As an employeeI want to update a productin order to manage product inventoryStorypoints - **xx**","",,
,,,"Acceptance Criteria","You can navigate to the "Opdater produkt" page from the pencil icon on the product page"
,,,,"Given an employee wants to update a product, when they have successfully filled the updated information, then an confirmation message is displayed"
,,,,"The update icon is only visible when logged in as employee or admin"
,,,,"Given an employee wants to update a product, when they have unsuccessfully filled the updated information, then an error message is displayed"
,,,,"The correct product gets updated"
,,,"Tasks","Make "Opdater produkt" page (form)"
,,,,"Add a pencil icon to every product only visible when logged in as employee or admin"
,,,,"Success or error message"
,,,,"A product can be disabled"
"Employee/Admin create product","As an employee/adminI want to be able to create a new productIn order to keep the product page updated with new productsStorypoints - **xx**","",,
,,,"Acceptance Criteria","Product is successfully created"
,,,,"The picture is saved in root/database? - Database is recommend when we have multiple razorpage servers"
,,,,"Given an employee is on the "Opret produkt" page, when the employee has not correctly filled out information for a product, then they get an error message"
,,,,"Given an employee is on the "Opret produkt" page, when the employee has correctly filled out information, then they get a success message"
,,,"Tasks",""Opret produkt" button"
,,,,"Product form page with file input"
,,,,"Recommend image dimensions"
,,,,"Make success/error messages"
"Employee/Admin disable product","As an employee/adminI want to be able to disable a productIn order to remove old products from the product page‌Storypoints - **xx**","",,
,,,"Tasks","Add "Disabled" bool"
,,,,"Success or error message"
,,,,"Make "are you sure" page before the product is disabled"
,,,"Acceptance Criteria","The correct product is disabled"
,,,,"Is able to navigate to the disable product page from the "administrer produkt" page"
,,,,"Success and error messages work"
"Order page filter and sort","As an EmployeeI want to filter and sort in the orders,so I can have an overview of orders that are due or are my responsibilityStorypoints - **xx**","",,
,,,"Acceptance Criteria","Given that an employee sorts or filters, when interacting with the All Orders page, then the correct filters and sorts are applied"
,,,"Tasks","Sort by due date"
,,,,"Filter by due date"
,,,,"Sort by employee ID"
,,,,"Filter by employee ID"
,,,,"Filter by status"
,,,,"Sort by status"
,,,,"The default view is all orders, no older than 1 week"
"Product page filter","As a customerI want to be able to filter the products on the product pageSo i can find the right product easily‌Storypoints - **xx**","",,
,,,"Tasks","Filter by price"
,,,,"Filter by colour"
,,,,"Sort by name"
,,,,"Sort by price"
,,,,"Filter by keyword (save this for later)"
,,,,"Add design to product catalog"
,,,,""Filtrer og sorter" button"
,,,"Acceptance Criteria","Filter is persistent"
,,,,"Sort is persistent"
,,,,"Buttons are visible and working"
"Employee gets notification on new order","As an employeeI want to receive a notification from the system when a new order is submittedSo I can expedited the orderStorypoints - **xx**","",,
,,,"Tasks","New orders are in a different color"
,,,,"Badge counter for pending orders placed on the button link"
"Undertaker check out","As an undertakerI want to be able to choose a delivery location and timeIn order to conduct my businessStorypoints - **xx**","",,
,,,"Acceptance Criteria","Common customers can not enter undertaker check out flow"
,,,,"Input constraint on delivery address and deceased name"
,,,,"Order WITH delivery is successfully created and added to database"
,,,,"Success and error messages work"
,,,"Tasks","If account is undertaker, redirect to undertaker check out flow"
,,,,"Delivery page (form)"
,,,,"Success or error message"
"Employee see and reenable disabled products","As an employeeI want to be able to see disabled products and reenableIn order to manage product catalogStorypoints - **xx**","",,
,,,"Tasks","See disabled button on product sides"
,,,,"Reenable button on disabled products"
,,,"Acceptance Criteria",""Se udgåede produkter" button works"
,,,,"reenable button reenables correct product"
,,,,"See disabled product only visable when logged in as employee or admin"
,,,,"Disabled products look different from normal products (grey coloured?)"
"Basket product count badge","As a customerI would like to see the amount of products in the basket without being on the basket pageBecause i'm lazyStorypoints - **xx**","",,
,,,"Acceptance Criteria","Badge is red"
,,,,"Badge is placed in bottom right corner of the button"
,,,,"Badge counts amount of orderlines correct"
,,,"Tasks","Add a badge to a basket"
"Website edit icon everywhere","As an employee/adminI want to be able to edit the static elements on the websiteIn order to update themStorypoints - **xx**","",,
,,,"Tasks","Edit icon next to static text"
,,,,"Edit icon next to static images"
,,,,"Only visible when logged in as employee or admin"
,,,,"When editing a save button appear"
,,,,"Make changes persistent"
,,,"Acceptance Criteria","Changes gets saved to the database (somehow)"
,,,,"Changes are immediate (no double confirm)"
"Extra nav bar on profile pages","As a customerI want to be able to easily navigate my profile pagesSo the UX feels smooth and unhinderedStorypoints - **xx**","",,
,,,"Acceptance Criteria","Links to "Profil", "Mine ordrer", "Logout""
,,,,"Only visable when on a cutomer profil pages"
,,,,"Only visable when on a cutomer profil pages"
,,,"Tasks","Extra nav bar (either on the side of the page or below the top navigation bar)"
"Search bar logic","As a customerI want to search for products by textBecause im fairly sure of what i wantStorypoints - **xx**","",,
,,,"Tasks","Query in product name from input"
,,,,"Error message"
,,,"Acceptance Criteria","If search bar is empty do nothing"
,,,,"If search bar is not empty begin looking for all products which matches the entered string somehow"
,,,,"Return the right result"
,,,,"Shown error when empty result"
"Search result page","As a userI want to be able to see my search resultsIn order to be able to choose my productStorypoints - **xx**","",,
,,,"Tasks","Create search result page in same design as product pages"
,,,,"Display search result"
,,,"Acceptance Criteria","A search redirects to result page"
,,,,"Correct products are displayed"
"User search result sort/filter","As a userI want to be able to sort and filter the given search results, after a product searchSo i better can find, what I am searching forStorypoints - **xx**","",,
,,,"Tasks","Sort by Name, Price etc."
,,,,"Filter further on Name, Price etc."
,,,"Acceptance Criteria","Given a user has queried a search, when the search results has been displayed, then the user should be able to filter and sort the result"
"Allow visitors without account to create orders","Storypoints - **xx**","",,
"Database connection is lost","Storypoints - **xx**","",,
,,,"Tasks","Display error message to webpage visitors when connection to database is lost"
"US 2 - Bedemand, Speciel Ordre Funktion","Som bedemand ønsker jeg at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret side med det formål at effektivisere bestillingsprocessen for begravelsesarrangementer.","5 (orange)",,
,,,"Tasks","Opret en dedikeret side for bedemænd med tilpassede bestillingsmuligheder."
,,,,"Opret mulighed for at vælge mellem liste af lokale kapeller"
,,,"Acceptance Criteria","Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge og tilpasse blomsterarrangementer specielt designet til begravelser."
,,,,"Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge mellem lokale kapeller."
"US 1 - Kunde, Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
,,,"Tasks","Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori."
,,,,"Opgave 2"
,,,"Acceptance Criteria","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
,,,,"Opgave 4"
"Medarbejder - Automatiske notifikationer","Medarbejder - Automatiske notifikationer*Som* medarbejder, *Ønsker jeg* at modtage automatiske notifikationer om nye ordrer, *Med det formål* at kunne påbegynde ordrebehandling så hurtigt som muligt.","",,
"Medarbejder - Automatiske notifikationer","Medarbejder - Automatiske notifikationer*Som* medarbejder, *Ønsker jeg* at modtage automatiske notifikationer om nye ordrer, *Med det formål* at kunne påbegynde ordrebehandling så hurtigt som muligt.","",,
"Medarbejder - Automatiske notifikationer","Medarbejder - Automatiske notifikationer*Som* medarbejder, *Ønsker jeg* at modtage automatiske notifikationer om nye ordrer, *Med det formål* at kunne påbegynde ordrebehandling så hurtigt som muligt.","",,
"Kunde - Gavekort og rabatkoder","Kunde - Gavekort og rabatkoder*Som* kunde, *Ønsker jeg* at kunne anvende gavekort og rabatkoder ved checkout, *Med det formål* at udnytte tilbud og spare penge på køb.","",,
"Kunde - Gavekort og rabatkoder","Kunde - Gavekort og rabatkoder*Som* kunde, *Ønsker jeg* at kunne anvende gavekort og rabatkoder ved checkout, *Med det formål* at udnytte tilbud og spare penge på køb.","",,
"Kunde - Gavekort og rabatkoder","Kunde - Gavekort og rabatkoder*Som* kunde, *Ønsker jeg* at kunne anvende gavekort og rabatkoder ved checkout, *Med det formål* at udnytte tilbud og spare penge på køb.","",,
"Bestyrer - Salgsrapporter","Bestyrer - Salgsrapporter*Som* bestyrer, *Ønsker jeg* at kunne generere detaljerede salgsrapporter, *Med det formål* at analysere salgstendenser og foretage datadrevne beslutninger.","",,
"Bestyrer - Salgsrapporter","Bestyrer - Salgsrapporter*Som* bestyrer, *Ønsker jeg* at kunne generere detaljerede salgsrapporter, *Med det formål* at analysere salgstendenser og foretage datadrevne beslutninger.","",,
"Bestyrer - Salgsrapporter","Bestyrer - Salgsrapporter*Som* bestyrer, *Ønsker jeg* at kunne generere detaljerede salgsrapporter, *Med det formål* at analysere salgstendenser og foretage datadrevne beslutninger.","",,
"Medarbejder - Lagerstyring","Medarbejder - Lagerstyring*Som* medarbejder, *Ønsker jeg* et dashboard til at monitorere lagerstatus, *Med det formål* at forebygge mangler og optimere lagerbeholdningen.","",,
"Medarbejder - Lagerstyring","Medarbejder - Lagerstyring*Som* medarbejder, *Ønsker jeg* et dashboard til at monitorere lagerstatus, *Med det formål* at forebygge mangler og optimere lagerbeholdningen.","",,
"Medarbejder - Lagerstyring","Medarbejder - Lagerstyring*Som* medarbejder, *Ønsker jeg* et dashboard til at monitorere lagerstatus, *Med det formål* at forebygge mangler og optimere lagerbeholdningen.","",,
"Bedemand - Automatisk Fakturering","Bedemand - Automatisk Fakturering*Som* bedemand, *Ønsker jeg* automatisk at modtage en faktura ved bestilling, *Med det formål* at forenkle regnskabsprocessen.","",,
"Bedemand - Automatisk Fakturering","Bedemand - Automatisk Fakturering*Som* bedemand, *Ønsker jeg* automatisk at modtage en faktura ved bestilling, *Med det formål* at forenkle regnskabsprocessen.","",,
"Bedemand - Automatisk Fakturering","Bedemand - Automatisk Fakturering*Som* bedemand, *Ønsker jeg* automatisk at modtage en faktura ved bestilling, *Med det formål* at forenkle regnskabsprocessen.","",,
"","","",,
"Kunde - Ordreopfølgning","Kunde - Ordreopfølgning*Som* kunde, *Ønsker jeg* at kunne spore status for min ordre, *Med det formål* at holde mig opdateret om leveringstidspunktet.","",,
"Kunde - Ordreopfølgning","Kunde - Ordreopfølgning*Som* kunde, *Ønsker jeg* at kunne spore status for min ordre, *Med det formål* at holde mig opdateret om leveringstidspunktet.","",,
"Kunde - Ordreopfølgning","Kunde - Ordreopfølgning*Som* kunde, *Ønsker jeg* at kunne spore status for min ordre, *Med det formål* at holde mig opdateret om leveringstidspunktet.","",,
"US 2 - Bedemand, Speciel Ordre Funktion","Som bedemand ønsker jeg at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret side med det formål at effektivisere bestillingsprocessen for begravelsesarrangementer.","5 (orange)",,
,,,"Tasks","Opret en dedikeret side for bedemænd med tilpassede bestillingsmuligheder."
,,,,"Opret mulighed for at vælge mellem liste af lokale kapeller"
,,,"Acceptance Criteria","Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge og tilpasse blomsterarrangementer specielt designet til begravelser."
,,,,"Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge mellem lokale kapeller."
"","","",,
,,,"Checklist","Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge og tilpasse blomsterarrangementer specielt designet til begravelser."
",,,,,,,Acceptance Criteria,"Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge og tilpasse blomsterarrangementer specielt designet til begravelser.",,","","",,
,,,"Checklist","Opgave 5"
"US 1 - Kunde, Produktgennemsyn","Som, ønsker jeg, med det formål","3 (yellow)",,
,,,"Tasks","Opgave 1"
,,,,"Opgave 2"
,,,"Acceptance Criteria","Opgave 3"
,,,,"Opgave 4"
"US 2 - Bedemand, Speciel Ordre Funktion","Som bedemandønsker jeg at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret sidemed det formål at effektivisere bestillingsprocessen for begravelsesarrangementer.","5 (orange)",,
,,,"Tasks","Opret en dedikeret side for bedemænd med tilpassede bestillingsmuligheder."
,,,,"Opret mulighed for at vælge mellem liste af lokale kapeller"
,,,"Acceptance Criteria","Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge og tilpasse blomsterarrangementer specielt designet til begravelser."
,,,,"Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge mellem lokale kapeller."
"Bestyrer - Produktadministration","Bestyrer - Produktadministration*Som* bestyrer, *Ønsker jeg* at kunne oprette og opdatere produkter i webshoppen, *Med det formål* at sikre, at produktudvalget altid er aktuelt og korrekt prissat.","",,
"Bestyrer - Produktadministration","Bestyrer - Produktadministration*Som* bestyrer, *Ønsker jeg* at kunne oprette og opdatere produkter i webshoppen, *Med det formål* at sikre, at produktudvalget altid er aktuelt og korrekt prissat.","",,
"Bestyrer - Produktadministration","Bestyrer - Produktadministration*Som* bestyrer, *Ønsker jeg* at kunne oprette og opdatere produkter i webshoppen, *Med det formål* at sikre, at produktudvalget altid er aktuelt og korrekt prissat.","",,
"US 1 - Kunde, Produktgennemsyn","*Som* kunde, *Ønsker jeg* at kunne se butikkens portfølje i kategorier, *Med det formål* bedst at kunne vælge det produkt, der opfylder mit behov.","3 (yellow)",,
,,,"Tasks","Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori."
,,,"Acceptance Criteria","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
""2. User Story: Bedemand - Speciel Ordre Funktion"",""Som bedemand, Ønsker jeg at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret side, Med det formål at effektivisere bestillingsprocessen for begravelsesarrangementer."","5 (orange)",,
,,,"Checklist","Opret en dedikeret side for bedemænd med tilpassede bestillingsmuligheder."
""2. User Story: Bedemand - Speciel Ordre Funktion","""Som bedemand, Ønsker jeg at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret side, Med det formål at effektivisere bestillingsprocessen for begravelsesarrangementer.""",5 (orange),,,,,Tasks,Opret en dedikeret side for bedemænd med tilpassede bestillingsmuligheder.,,","","",,
,,,"Checklist","Opgave 4"
"Kunde - Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
,,,"Checklist","Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori"
,,,,"Opgave 2"
,,,"Acceptance Criteria","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
,,,,"Opgave 3"
"US 1 - Kunde, Produktgennemsyn","Som, ønsker jeg, med det formål","3 (yellow)",,
,,,"Checklist","Opgave 2"
,,,"Acceptance Criteria","Opgave 3"
,,,,"Opgave 4"
"US 1 - Kunde, Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
,,,"Tasks","Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori."
,,,,"Opgave 2"
,,,"Acceptance Criteria","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
,,,,"Opgave 4"
"Medarbejder - Ordrehåndtering","Medarbejder - Ordrehåndtering*Som* medarbejder, *Ønsker jeg* at kunne se og administrere indkommende ordrer, *Med det formål* at effektivisere processen for ordreklargøring og levering.","",,
"Medarbejder - Ordrehåndtering","Medarbejder - Ordrehåndtering*Som* medarbejder, *Ønsker jeg* at kunne se og administrere indkommende ordrer, *Med det formål* at effektivisere processen for ordreklargøring og levering.","",,
"Medarbejder - Ordrehåndtering","Medarbejder - Ordrehåndtering*Som* medarbejder, *Ønsker jeg* at kunne se og administrere indkommende ordrer, *Med det formål* at effektivisere processen for ordreklargøring og levering.","",,
"US 2 - Bedemand, Speciel Ordre Funktion","Som bedemand ønsker jeg at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret side med det formål at effektivisere bestillingsprocessen for begravelsesarrangementer.","5 (orange)",,
,,,"Tasks","Opret en dedikeret side for bedemænd med tilpassede bestillingsmuligheder."
,,,,"Opret mulighed for at vælge mellem liste af lokale kapeller"
,,,"Acceptance Criteria","Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge og tilpasse blomsterarrangementer specielt designet til begravelser."
,,,,"Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge mellem lokale kapeller."
"","","",,
,,,"Checklist","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
",,,,,,,Acceptance Criteria,"Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget.",,","","",,
,,,"Checklist","Opgave 3"
"","","",,
,,,"Checklist","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
,,,,"Opgave 3"
"US 1 - Kunde, Produktgennemsyn","Som, ønsker jeg, med det formål","3 (yellow)",,
,,,"Checklist","Opgave 1"
,,,,"Opgave 2"
,,,"Acceptance Criteria","Opgave 3"
,,,,"Opgave 4"
"US 1 - Kunde, Produktgennemsyn","Som, ønsker jeg, med det formål","3 (yellow)",,
,,,"Tasks","Opgave 1"
,,,,"Opgave 2"
,,,"Acceptance Criteria","Opgave 3"
,,,,"Opgave 4"
"US 2 - Bedemand, Speciel Ordre Funktion","Som bedemandønsker jeg at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret sidemed det formål at effektivisere bestillingsprocessen for begravelsesarrangementer.","5 (orange)",,
,,,"Tasks","Opret en dedikeret side for bedemænd med tilpassede bestillingsmuligheder."
,,,,"Opret mulighed for at vælge mellem liste af lokale kapeller"
,,,"Acceptance Criteria","Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge og tilpasse blomsterarrangementer specielt designet til begravelser."
,,,,"Givet at en bedemand er logget ind, når de tilgår den dedikerede side, så skal de kunne vælge mellem lokale kapeller."
"Bedemand - Speciel Ordre Funktion","Bedemand - Speciel Ordre Funktion*Som* bedemand, *Ønsker jeg* at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret side, *Med det formål* at effektivisere bestillingsprocessen for begravelsesarrangementer.","",,
"Bedemand - Speciel Ordre Funktion","Bedemand - Speciel Ordre Funktion*Som* bedemand, *Ønsker jeg* at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret side, *Med det formål* at effektivisere bestillingsprocessen for begravelsesarrangementer.","",,
"Bedemand - Speciel Ordre Funktion","Bedemand - Speciel Ordre Funktion*Som* bedemand, *Ønsker jeg* at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret side, *Med det formål* at effektivisere bestillingsprocessen for begravelsesarrangementer.","",,
"US 1 - Kunde, Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
,,,"Tasks","Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori."
,,,"Acceptance Criteria","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
"1. User Story: Kunde - Produktgennemsyn","- **Som** kunde,- **Ønsker jeg** at kunne se butikkens portefølje i kategorier,- **Med det formål** bedst at kunne vælge det produkt, der opfylder mit behov.**Som kunde, Ønsker jeg at kunne se butikkens portefølje i kategorier, Med det formål bedst at kunne vælge det produkt, der opfylder mit behov.**","3 (yellow)",,
,,,"Acceptance Criteria","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
,,,"Tasks ","Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori."
"Kunde - Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
,,,"Checklist","Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori"
"Kunde - Produktgennemsyn,Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov,3 (yellow),,,,,Tasks,"Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori",,","","",,
,,,"Checklist","Opgave 2"
"Kunde - Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
,,,"Checklist","Opgave 2"
,,,"Acceptance Criteria","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
,,,,"Opgave 3"
"Kunde - Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
,,,"Checklist","Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori"
,,,,"Opgave 2"
"Nr 1, Kunde - Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
,,,"Checklist","Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori"
,,,,"Opgave 2"
,,,"Acceptance Criteria","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
,,,,"Opgave 3"
"US 1 - Kunde, Produktgennemsyn","Som, ønsker jeg, med det formål","3 (yellow)",,
,,,"Checklist","Opgave 2"
,,,"Acceptance Criteria","Opgave 3"
,,,,"Opgave 4"
"US 1 - Kunde, Produktgennemsyn","Som kundeønsker jeg at kunne se butikkens portefølje i kategoriermed det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
,,,"Tasks","Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori."
,,,,"Opgave 2"
,,,"Acceptance Criteria","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
,,,,"Opgave 4"
"Kunde - Produktgennemsyn","Kunde - Produktgennemsyn*Som* kunde, *Ønsker jeg* at kunne se butikkens portfølje i kategorier, *Med det formål* bedst at kunne vælge det produkt, der opfylder mit behov.","",,
"Kunde - Produktgennemsyn","Kunde - Produktgennemsyn*Som* kunde, *Ønsker jeg* at kunne se butikkens portfølje i kategorier, *Med det formål* bedst at kunne vælge det produkt, der opfylder mit behov.","",,
"Kunde - Produktgennemsyn","Kunde - Produktgennemsyn*Som* kunde, *Ønsker jeg* at kunne se butikkens portfølje i kategorier, *Med det formål* bedst at kunne vælge det produkt, der opfylder mit behov.","",,
"Navigationsbar","As a useri want to be able to navigate the siteso i can see everything i want‌Storypoints - **xx**","",,
,,,"Acceptance Criteria","Must be placed in layout (as the top bar of the webpage)"
,,,,"Drop down menu for "Blomster" button"
,,,,"When logged in as a customer/undertaker the login button changes to customer/undertaker manager dropdown (contains "profile", "my orders", "logout")"
,,,,"Blomster binderiets logo in the far left of the navigation bar"
,,,,"Search bar is placed to the far right but before the basket- and user buttons"
,,,,"When visiting as a guest, a login button is placed in the right corner"
,,,,"Implement ALL buttons"
,,,,"When logged in as a admin the login button changes to admin manager dropdown (contains admin pages)"
,,,"Tasks","Implement navigation bar design as in the paper mockup"
"Product page","As a customerI want to see all products availableSo I can chose a productStorypoints - **xx**","",,
,,,"Acceptance Criteria","Link navigates to product page"
,,,,"All products are shown in a grid like view"
,,,,"Pageination to f.x. 24 products pr page"
,,,"Tasks","Navigate to product page (navbar link)"
,,,,"See all products avaliable (web page)"
"See product details","As a customerI want to be able to see the specific products detailsSo i can be sure it is the right product for me‌Storypoints - **xx**","",,
,,,"Acceptance Criteria","Large image of the product"
,,,,"Description of product"
,,,,"Button "Tilføj til kurv""
,,,,"Other versions links to other product page (different versions of same product is created as individual products)"
,,,,"Change amount field"
,,,,"Back to product catalog button"
,,,,""Tilføjet til kurv" under "Tilføj til kurv" when product is sucessfully added"
,,,"Tasks","Create a product details page"
